warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
getrandom->libc                                  0.2.185                         0.2.186  Removed  Normal       cfg(unix)
getrandom->r-efi                                 6.0.0                           ---      Removed  Normal       cfg(all(target_os = "uefi", getrandom_backend = "efi_rng"))
getrandom->wasi                                  0.11.1+wasi-snapshot-preview1   ---      Removed  Normal       cfg(target_os = "wasi")
getrandom->wasip2                                1.0.3+wasi-0.2.9                ---      Removed  Normal       cfg(all(target_arch = "wasm32", target_os = "wasi", target_env = "p2"))
getrandom->wasip3                                0.4.0+wasi-0.3.0-rc-2026-01-06  ---      Removed  Normal       cfg(all(target_arch = "wasm32", target_os = "wasi", target_env = "p3"))
getrandom->wasm-bindgen                          0.2.120                         ---      Removed  Normal       cfg(all(any(target_arch = "wasm32", target_arch = "wasm64"), target_os = "unknown"))
h2->bytes                                        1.11.1                          ---      Removed  Normal       ---
h2->fnv                                          1.0.7                           ---      Removed  Normal       ---
h2->futures-core                                 0.3.32                          ---      Removed  Normal       ---
h2->futures-sink                                 0.3.32                          ---      Removed  Normal       ---
h2->futures-util                                 0.3.32                          ---      Removed  Normal       ---
h2->http                                         0.2.12                          ---      1.4.0    Normal       ---
h2->http                                         0.2.12                          ---      Removed  Normal       ---
h2->indexmap                                     2.14.0                          ---      Removed  Normal       ---
h2->slab                                         0.4.12                          ---      Removed  Normal       ---
h2->tokio                                        1.52.1                          ---      Removed  Normal       ---
h2->tokio-util                                   0.7.18                          ---      Removed  Normal       ---
h2->tracing                                      0.1.44                          ---      Removed  Normal       ---
hashbrown->foldhash                              0.1.5                           ---      Removed  Normal       ---
hmac                                             0.12.1                          ---      0.13.0   Normal       cfg(not(target_arch = "wasm32"))
hmac->digest                                     0.10.7                          ---      0.11.3   Normal       ---
http->bytes                                      1.11.1                          ---      Removed  Normal       ---
http->fnv                                        1.0.7                           ---      Removed  Normal       ---
http->itoa                                       1.0.18                          ---      Removed  Normal       ---
http-body->bytes                                 1.11.1                          ---      Removed  Normal       ---
http-body->http                                  0.2.12                          ---      1.4.0    Normal       ---
http-body->http                                  0.2.12                          ---      Removed  Normal       ---
http-body->http                                  1.4.0                           ---      Removed  Normal       ---
http-body->pin-project-lite                      0.2.17                          ---      Removed  Normal       ---
http-body-util->bytes                            1.11.1                          ---      Removed  Normal       ---
http-body-util->futures-core                     0.3.32                          ---      Removed  Normal       ---
http-body-util->http                             1.4.0                           ---      Removed  Normal       ---
http-body-util->http-body                        1.0.1                           ---      Removed  Normal       ---
http-body-util->pin-project-lite                 0.2.17                          ---      Removed  Normal       ---
hyper->bytes                                     1.11.1                          ---      Removed  Normal       ---
hyper->futures-channel                           0.3.32                          ---      Removed  Normal       ---
hyper->futures-core                              0.3.32                          ---      Removed  Normal       ---
hyper->futures-util                              0.3.32                          ---      Removed  Normal       ---
hyper->h2                                        0.3.27                          ---      0.4.13   Normal       ---
hyper->h2                                        0.3.27                          ---      Removed  Normal       ---
hyper->http                                      0.2.12                          ---      1.4.0    Normal       ---
hyper->http                                      0.2.12                          ---      Removed  Normal       ---
hyper->http-body                                 0.4.6                           ---      1.0.1    Normal       ---
hyper->http-body                                 0.4.6                           ---      Removed  Normal       ---
hyper->httparse                                  1.10.1                          ---      Removed  Normal       ---
hyper->httpdate                                  1.0.3                           ---      Removed  Normal       ---
hyper->itoa                                      1.0.18                          ---      Removed  Normal       ---
hyper->pin-project-lite                          0.2.17                          ---      Removed  Normal       ---
hyper->socket2                                   0.5.10                          ---      Removed  Normal       ---
hyper->tokio                                     1.52.1                          ---      Removed  Normal       ---
hyper->tower-service                             0.3.3                           ---      Removed  Normal       ---
hyper->tracing                                   0.1.44                          ---      Removed  Normal       ---
hyper->want                                      0.3.1                           ---      Removed  Normal       ---
hyper-tls->bytes                                 1.11.1                          ---      Removed  Normal       ---
hyper-tls->hyper                                 0.14.32                         ---      Removed  Normal       ---
