warning: Feature js of package getrandom has been obsolete in version 0.4.2
warning: Feature simple of package pbkdf2 has been obsolete in version 0.13.0
Name                                             Project                         Compat   Latest   Kind         Platform
socket2->libc                                    0.2.185                         0.2.186  0.2.186  Normal       cfg(any(unix, target_os = "wasi"))
socket2->libc                                    0.2.185                         0.2.186  0.2.186  Normal       cfg(unix)
socket2->libc                                    0.2.185                         0.2.186  Removed  Normal       cfg(any(unix, target_os = "wasi"))
socket2->libc                                    0.2.185                         0.2.186  Removed  Normal       cfg(unix)
socket2->windows-sys                             0.52.0                          ---      0.61.2   Normal       cfg(windows)
socket2->windows-sys                             0.52.0                          ---      Removed  Normal       cfg(windows)
socket2->windows-sys                             0.61.2                          ---      Removed  Normal       cfg(windows)
syn->proc-macro2                                 1.0.106                         ---      Removed  Normal       ---
syn->quote                                       1.0.45                          ---      Removed  Normal       ---
syn->unicode-ident                               1.0.24                          ---      Removed  Normal       ---
synstructure->proc-macro2                        1.0.106                         ---      Removed  Normal       ---
synstructure->quote                              1.0.45                          ---      Removed  Normal       ---
synstructure->syn                                2.0.117                         ---      Removed  Normal       ---
system-configuration->bitflags                   1.3.2                           ---      Removed  Normal       ---
system-configuration->core-foundation            0.9.4                           ---      Removed  Normal       ---
system-configuration->system-configuration-sys   0.5.0                           ---      Removed  Normal       ---
system-configuration-sys->core-foundation-sys    0.8.7                           ---      Removed  Normal       ---
system-configuration-sys->libc                   0.2.185                         0.2.186  Removed  Normal       ---
tempfile->fastrand                               2.4.1                           ---      Removed  Normal       ---
tempfile->getrandom                              0.4.2                           ---      Removed  Normal       cfg(any(unix, windows, target_os = "wasi"))
tempfile->once_cell                              1.21.4                          ---      Removed  Normal       ---
tempfile->rustix                                 1.1.4                           ---      Removed  Normal       cfg(any(unix, target_os = "wasi"))
tempfile->windows-sys                            0.61.2                          ---      Removed  Normal       cfg(windows)
termcolor->winapi-util                           0.1.11                          ---      Removed  Normal       cfg(windows)
thiserror->thiserror-impl                        1.0.69                          ---      2.0.18   Normal       ---
thiserror->thiserror-impl                        2.0.18                          ---      Removed  Normal       ---
thiserror-impl->proc-macro2                      1.0.106                         ---      Removed  Normal       ---
thiserror-impl->quote                            1.0.45                          ---      Removed  Normal       ---
thiserror-impl->syn                              2.0.117                         ---      Removed  Normal       ---
tinystr->displaydoc                              0.2.5                           ---      Removed  Normal       ---
tinystr->zerovec                                 0.11.6                          ---      Removed  Normal       ---
tokio->bytes                                     1.11.1                          ---      Removed  Normal       ---
tokio->libc                                      0.2.185                         0.2.186  0.2.186  Normal       cfg(all(tokio_unstable, target_os = "linux"))
tokio->libc                                      0.2.185                         0.2.186  Removed  Normal       cfg(all(tokio_unstable, target_os = "linux"))
tokio->mio                                       1.2.0                           ---      Removed  Normal       ---
tokio->parking_lot                               0.12.5                          ---      Removed  Normal       ---
tokio->pin-project-lite                          0.2.17                          ---      Removed  Normal       ---
tokio->signal-hook-registry                      1.4.8                           ---      Removed  Normal       cfg(unix)
tokio->socket2                                   0.6.3                           ---      Removed  Normal       cfg(any(not(target_family = "wasm"), all(target_os = "wasi", not(target_env = "p1"))))
tokio->tokio-macros                              2.7.0                           ---      Removed  Normal       ---
tokio->windows-sys                               0.61.2                          ---      Removed  Normal       cfg(windows)
tokio-macros->proc-macro2                        1.0.106                         ---      Removed  Normal       ---
tokio-macros->quote                              1.0.45                          ---      Removed  Normal       ---
tokio-macros->syn                                2.0.117                         ---      Removed  Normal       ---
tokio-native-tls->native-tls                     0.2.18                          ---      Removed  Normal       ---
tokio-native-tls->tokio                          1.52.1                          ---      Removed  Normal       ---
tokio-rustls->rustls                             0.23.39                         0.23.40  0.23.40  Normal       ---
tokio-tungstenite                                0.20.1                          ---      0.29.0   Normal       cfg(not(target_arch = "wasm32"))
tokio-tungstenite->tungstenite                   0.20.1                          ---      0.29.0   Normal       ---
tokio-tungstenite->tungstenite                   0.24.0                          ---      0.29.0   Normal       ---
tokio-util->bytes                                1.11.1                          ---      Removed  Normal       ---
tokio-util->futures-core                         0.3.32                          ---      Removed  Normal       ---
tokio-util->futures-sink                         0.3.32                          ---      Removed  Normal       ---
tokio-util->pin-project-lite                     0.2.17                          ---      Removed  Normal       ---
tokio-util->tokio                                1.52.1                          ---      Removed  Normal       ---
tower                                            0.4.13                          ---      0.5.3    Normal       cfg(not(target_arch = "wasm32"))
tower-http                                       0.5.2                           ---      0.6.8    Normal       cfg(not(target_arch = "wasm32"))
tower-http->async-compression                    0.4.41                          0.4.42   0.4.42   Normal       ---
tower-http->http-body-util                       0.1.3                           ---      Removed  Normal       ---
tracing->log                                     0.4.29                          ---      Removed  Normal       ---
tracing->pin-project-lite                        0.2.17                          ---      Removed  Normal       ---
tracing->tracing-attributes                      0.1.31                          ---      Removed  Normal       ---
tracing->tracing-core                            0.1.36                          ---      Removed  Normal       ---
tracing-attributes->proc-macro2                  1.0.106                         ---      Removed  Normal       ---
tracing-attributes->quote                        1.0.45                          ---      Removed  Normal       ---
tracing-attributes->syn                          2.0.117                         ---      Removed  Normal       ---
tracing-core->once_cell                          1.21.4                          ---      Removed  Normal       ---
tungstenite->byteorder                           1.5.0                           ---      Removed  Normal       ---
tungstenite->data-encoding                       2.10.0                          2.11.0   2.11.0   Normal       ---
tungstenite->http                                0.2.12                          ---      1.4.0    Normal       ---
tungstenite->rand                                0.8.6                           ---      0.9.4    Normal       ---
tungstenite->thiserror                           1.0.69                          ---      2.0.18   Normal       ---
tungstenite->url                                 2.5.8                           ---      Removed  Normal       ---
tungstenite->utf-8                               0.7.6                           ---      Removed  Normal       ---
url->form_urlencoded                             1.2.2                           ---      Removed  Normal       ---
url->idna                                        1.1.0                           ---      Removed  Normal       ---
url->percent-encoding                            2.3.2                           ---      Removed  Normal       ---
url->serde                                       1.0.228                         ---      Removed  Normal       ---
url->serde_derive                                1.0.228                         ---      Removed  Normal       ---
want->try-lock                                   0.2.5                           ---      Removed  Normal       ---
wasip2->wit-bindgen                              0.57.1                          ---      Removed  Normal       ---
wasip3->wit-bindgen                              0.51.0                          ---      Removed  Normal       ---
wasm-bindgen->cfg-if                             1.0.4                           ---      Removed  Normal       ---
wasm-bindgen->once_cell                          1.21.4                          ---      Removed  Normal       ---
wasm-bindgen->rustversion                        1.0.22                          ---      Removed  Build        ---
wasm-bindgen->wasm-bindgen-macro                 0.2.120                         ---      Removed  Normal       ---
wasm-bindgen->wasm-bindgen-shared                0.2.120                         ---      Removed  Normal       ---
wasm-bindgen-macro->quote                        1.0.45                          ---      Removed  Normal       ---
wasm-bindgen-macro->wasm-bindgen-macro-support   0.2.120                         ---      Removed  Normal       ---
wasm-bindgen-macro-support->bumpalo              3.20.2                          ---      Removed  Normal       ---
wasm-bindgen-macro-support->proc-macro2          1.0.106                         ---      Removed  Normal       ---
wasm-bindgen-macro-support->quote                1.0.45                          ---      Removed  Normal       ---
wasm-bindgen-macro-support->syn                  2.0.117                         ---      Removed  Normal       ---
wasm-bindgen-macro-support->wasm-bindgen-shared  0.2.120                         ---      Removed  Normal       ---
wasm-bindgen-shared->unicode-ident               1.0.24                          ---      Removed  Normal       ---
wasm-encoder->leb128fmt                          0.1.0                           ---      Removed  Normal       ---
wasm-encoder->wasmparser                         0.244.0                         ---      Removed  Normal       ---
wasm-metadata->anyhow                            1.0.102                         ---      Removed  Normal       ---
wasm-metadata->indexmap                          2.14.0                          ---      Removed  Normal       ---
wasm-metadata->wasm-encoder                      0.244.0                         ---      Removed  Normal       ---
wasm-metadata->wasmparser                        0.244.0                         ---      Removed  Normal       ---
wasmparser->bitflags                             2.11.1                          ---      Removed  Normal       ---
wasmparser->hashbrown                            0.15.5                          ---      Removed  Normal       ---
wasmparser->indexmap                             2.14.0                          ---      Removed  Normal       ---
wasmparser->semver                               1.0.28                          ---      Removed  Normal       ---
webauthn-attestation-ca->base64urlsafedata       0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-attestation-ca->openssl                 0.10.78                         0.10.79  0.10.79  Normal       ---
webauthn-attestation-ca->openssl-sys             0.9.114                         0.9.115  0.9.115  Normal       ---
webauthn-rs                                      0.5.4                           0.5.5    0.5.5    Normal       cfg(not(target_arch = "wasm32"))
webauthn-rs->base64urlsafedata                   0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-rs->webauthn-rs-core                    0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-rs-core->base64urlsafedata              0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-rs-core->openssl                        0.10.78                         0.10.79  0.10.79  Normal       ---
webauthn-rs-core->openssl-sys                    0.9.114                         0.9.115  0.9.115  Normal       ---
webauthn-rs-core->webauthn-attestation-ca        0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-rs-core->webauthn-rs-proto              0.5.4                           0.5.5    0.5.5    Normal       ---
webauthn-rs-proto                                0.5.4                           0.5.5    0.5.5    Normal       cfg(not(target_arch = "wasm32"))
webauthn-rs-proto->base64urlsafedata             0.5.4                           0.5.5    0.5.5    Normal       ---
webpki-roots->rustls-pki-types                   1.14.0                          1.14.1   1.14.1   Normal       ---
winapi-util->windows-sys                         0.61.2                          ---      Removed  Normal       cfg(windows)
windows-sys->windows-link                        0.2.1                           ---      Removed  Normal       ---
windows-sys->windows-targets                     0.48.5                          ---      0.53.5   Normal       ---
windows-sys->windows-targets                     0.48.5                          ---      Removed  Normal       ---
windows-sys->windows-targets                     0.52.6                          ---      Removed  Normal       ---
windows-targets->windows_aarch64_gnullvm         0.48.5                          ---      0.53.1   Normal       aarch64-pc-windows-gnullvm
windows-targets->windows_aarch64_gnullvm         0.48.5                          ---      Removed  Normal       aarch64-pc-windows-gnullvm
windows-targets->windows_aarch64_gnullvm         0.52.6                          ---      Removed  Normal       aarch64-pc-windows-gnullvm
windows-targets->windows_aarch64_msvc            0.48.5                          ---      0.53.1   Normal       cfg(all(target_arch = "aarch64", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_aarch64_msvc            0.48.5                          ---      Removed  Normal       cfg(all(target_arch = "aarch64", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_aarch64_msvc            0.52.6                          ---      Removed  Normal       cfg(all(target_arch = "aarch64", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_i686_gnu                0.48.5                          ---      0.53.1   Normal       cfg(all(target_arch = "x86", target_env = "gnu", not(windows_raw_dylib)))
windows-targets->windows_i686_gnu                0.48.5                          ---      Removed  Normal       cfg(all(target_arch = "x86", target_env = "gnu", not(windows_raw_dylib)))
windows-targets->windows_i686_gnu                0.52.6                          ---      Removed  Normal       cfg(all(target_arch = "x86", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))
windows-targets->windows_i686_gnullvm            0.52.6                          ---      Removed  Normal       i686-pc-windows-gnullvm
windows-targets->windows_i686_msvc               0.48.5                          ---      0.53.1   Normal       cfg(all(target_arch = "x86", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_i686_msvc               0.48.5                          ---      Removed  Normal       cfg(all(target_arch = "x86", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_i686_msvc               0.52.6                          ---      Removed  Normal       cfg(all(target_arch = "x86", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_x86_64_gnu              0.48.5                          ---      0.53.1   Normal       cfg(all(target_arch = "x86_64", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))
windows-targets->windows_x86_64_gnu              0.48.5                          ---      Removed  Normal       cfg(all(target_arch = "x86_64", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))
windows-targets->windows_x86_64_gnu              0.52.6                          ---      Removed  Normal       cfg(all(target_arch = "x86_64", target_env = "gnu", not(target_abi = "llvm"), not(windows_raw_dylib)))
windows-targets->windows_x86_64_gnullvm          0.48.5                          ---      0.53.1   Normal       x86_64-pc-windows-gnullvm
windows-targets->windows_x86_64_gnullvm          0.48.5                          ---      Removed  Normal       x86_64-pc-windows-gnullvm
windows-targets->windows_x86_64_gnullvm          0.52.6                          ---      Removed  Normal       x86_64-pc-windows-gnullvm
windows-targets->windows_x86_64_msvc             0.48.5                          ---      0.53.1   Normal       cfg(all(target_arch = "x86_64", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_x86_64_msvc             0.48.5                          ---      Removed  Normal       cfg(all(target_arch = "x86_64", target_env = "msvc", not(windows_raw_dylib)))
windows-targets->windows_x86_64_msvc             0.52.6                          ---      Removed  Normal       cfg(all(any(target_arch = "x86_64", target_arch = "arm64ec"), target_env = "msvc", not(windows_raw_dylib)))
winreg->cfg-if                                   1.0.4                           ---      Removed  Normal       ---
winreg->windows-sys                              0.48.0                          ---      Removed  Normal       ---
wit-bindgen->wit-bindgen-rust-macro              0.51.0                          ---      Removed  Normal       ---
wit-bindgen-core->anyhow                         1.0.102                         ---      Removed  Normal       ---
wit-bindgen-core->heck                           0.5.0                           ---      Removed  Normal       ---
wit-bindgen-core->wit-parser                     0.244.0                         ---      Removed  Normal       ---
wit-bindgen-rust->anyhow                         1.0.102                         ---      Removed  Normal       ---
wit-bindgen-rust->heck                           0.5.0                           ---      Removed  Normal       ---
wit-bindgen-rust->indexmap                       2.14.0                          ---      Removed  Normal       ---
wit-bindgen-rust->prettyplease                   0.2.37                          ---      Removed  Normal       ---
wit-bindgen-rust->syn                            2.0.117                         ---      Removed  Normal       ---
wit-bindgen-rust->wasm-metadata                  0.244.0                         ---      Removed  Normal       ---
wit-bindgen-rust->wit-bindgen-core               0.51.0                          ---      Removed  Normal       ---
wit-bindgen-rust->wit-component                  0.244.0                         ---      Removed  Normal       ---
wit-bindgen-rust-macro->anyhow                   1.0.102                         ---      Removed  Normal       ---
wit-bindgen-rust-macro->prettyplease             0.2.37                          ---      Removed  Normal       ---
wit-bindgen-rust-macro->proc-macro2              1.0.106                         ---      Removed  Normal       ---
wit-bindgen-rust-macro->quote                    1.0.45                          ---      Removed  Normal       ---
wit-bindgen-rust-macro->syn                      2.0.117                         ---      Removed  Normal       ---
wit-bindgen-rust-macro->wit-bindgen-core         0.51.0                          ---      Removed  Normal       ---
wit-bindgen-rust-macro->wit-bindgen-rust         0.51.0                          ---      Removed  Normal       ---
wit-component->anyhow                            1.0.102                         ---      Removed  Normal       ---
wit-component->bitflags                          2.11.1                          ---      Removed  Normal       ---
wit-component->indexmap                          2.14.0                          ---      Removed  Normal       ---
wit-component->log                               0.4.29                          ---      Removed  Normal       ---
wit-component->serde                             1.0.228                         ---      Removed  Normal       ---
wit-component->serde_derive                      1.0.228                         ---      Removed  Normal       ---
wit-component->serde_json                        1.0.149                         ---      Removed  Normal       ---
wit-component->wasm-encoder                      0.244.0                         ---      Removed  Normal       ---
wit-component->wasm-metadata                     0.244.0                         ---      Removed  Normal       ---
wit-component->wasmparser                        0.244.0                         ---      Removed  Normal       ---
wit-component->wit-parser                        0.244.0                         ---      Removed  Normal       ---
wit-parser->anyhow                               1.0.102                         ---      Removed  Normal       ---
wit-parser->id-arena                             2.3.0                           ---      Removed  Normal       ---
wit-parser->indexmap                             2.14.0                          ---      Removed  Normal       ---
wit-parser->log                                  0.4.29                          ---      Removed  Normal       ---
wit-parser->semver                               1.0.28                          ---      Removed  Normal       ---
wit-parser->serde                                1.0.228                         ---      Removed  Normal       ---
wit-parser->serde_derive                         1.0.228                         ---      Removed  Normal       ---
wit-parser->serde_json                           1.0.149                         ---      Removed  Normal       ---
wit-parser->unicode-xid                          0.2.6                           ---      Removed  Normal       ---
wit-parser->wasmparser                           0.244.0                         ---      Removed  Normal       ---
x509-parser->data-encoding                       2.10.0                          2.11.0   2.11.0   Normal       ---
yoke->stable_deref_trait                         1.2.1                           ---      Removed  Normal       ---
yoke->yoke-derive                                0.8.2                           ---      Removed  Normal       ---
yoke->zerofrom                                   0.1.7                           ---      Removed  Normal       ---
yoke-derive->proc-macro2                         1.0.106                         ---      Removed  Normal       ---
yoke-derive->quote                               1.0.45                          ---      Removed  Normal       ---
yoke-derive->syn                                 2.0.117                         ---      Removed  Normal       ---
yoke-derive->synstructure                        0.13.2                          ---      Removed  Normal       ---
zerocopy->zerocopy-derive                        0.8.48                          ---      Removed  Normal       ---
zerocopy-derive->proc-macro2                     1.0.106                         ---      Removed  Normal       ---
zerocopy-derive->quote                           1.0.45                          ---      Removed  Normal       ---
zerocopy-derive->syn                             2.0.117                         ---      Removed  Normal       ---
zerofrom->zerofrom-derive                        0.1.7                           ---      Removed  Normal       ---
zerofrom-derive->proc-macro2                     1.0.106                         ---      Removed  Normal       ---
zerofrom-derive->quote                           1.0.45                          ---      Removed  Normal       ---
zerofrom-derive->syn                             2.0.117                         ---      Removed  Normal       ---
zerofrom-derive->synstructure                    0.13.2                          ---      Removed  Normal       ---
zerotrie->displaydoc                             0.2.5                           ---      Removed  Normal       ---
zerotrie->yoke                                   0.8.2                           ---      Removed  Normal       ---
zerotrie->zerofrom                               0.1.7                           ---      Removed  Normal       ---
zerovec->yoke                                    0.8.2                           ---      Removed  Normal       ---
zerovec->zerofrom                                0.1.7                           ---      Removed  Normal       ---
zerovec->zerovec-derive                          0.11.3                          ---      Removed  Normal       ---
zerovec-derive->proc-macro2                      1.0.106                         ---      Removed  Normal       ---
zerovec-derive->quote                            1.0.45                          ---      Removed  Normal       ---
zerovec-derive->syn                              2.0.117                         ---      Removed  Normal       ---
zip                                              2.4.2                           ---      8.6.0    Normal       cfg(not(target_arch = "wasm32"))
zip->arbitrary                                   1.4.2                           ---      Removed  Normal       cfg(fuzzing)
zip->crossbeam-utils                             0.8.21                          ---      Removed  Normal       cfg(any(all(target_arch = "arm", target_pointer_width = "32"), target_arch = "mips", target_arch = "powerpc"))
zip->displaydoc                                  0.2.5                           ---      Removed  Normal       ---
zip->thiserror                                   2.0.18                          ---      Removed  Normal       ---
